iter	Passed	Remaining
567	1475	1122
568	1477	1119
569	1479	1116
570	1481	1112
571	1485	1111
572	1487	1108
573	1489	1105
574	1491	1102
575	1492	1098
576	1494	1095
577	1495	1092
578	1500	1091
579	1502	1087
580	1504	1084
581	1505	1081
582	1507	1078
583	1509	1075
584	1513	1073
585	1515	1070
586	1517	1067
587	1519	1064
588	1521	1061
589	1523	1058
590	1524	1055
591	1527	1052
592	1530	1050
593	1532	1047
594	1533	1043
595	1535	1040
596	1536	1037
597	1538	1034
598	1540	1030
599	1542	1028
600	1544	1025
601	1546	1022
602	1548	1019
603	1550	1016
604	1552	1013
605	1553	1010
606	1555	1007
607	1557	1004
608	1559	1001
609	1561	998
610	1563	995
611	1564	992
612	1566	989
613	1568	985
614	1573	984
615	1575	981
616	1576	978
617	1578	975
618	1580	972
619	1583	970
620	1585	967
621	1588	965
622	1590	962
623	1592	959
624	1594	956
625	1596	953
626	1598	950
627	1603	949
628	1605	946
629	1607	943
630	1609	940
631	1610	937
632	1612	934
633	1618	934
634	1621	932
635	1623	929
636	1625	926
637	1627	923
638	1632	922
639	1634	919
640	1636	916
641	1638	913
642	1641	911
643	1643	908
644	1646	906
645	1648	903
646	1650	900
647	1652	897
648	1654	894
649	1657	892
650	1663	891
651	1664	888
652	1666	885
653	1668	882
654	1670	879
655	1672	876
656	1677	875
657	1680	873
658	1682	870
659	1685	868
660	1688	866
661	1693	864
662	1695	862
663	1697	859
664	1699	856
665	1703	854
666	1708	852
667	1710	850
668	1712	847
669	1714	844
670	1717	842
671	1719	839
672	1722	837
673	1725	834
674	1727	831
675	1729	829
676	1731	826
677	1733	823
678	1738	821
679	1740	819
680	1742	816
681	1744	813
682	1746	810
683	1749	808
684	1754	807
685	1757	804
686	1759	801
687	1761	798
688	1763	796
689	1766	793
690	1769	791
691	1771	788
692	1773	785
693	1776	783
694	1778	780
695	1782	778
696	1784	775
697	1786	772
698	1788	769
699	1789	767
700	1791	764
701	1793	761
702	1796	759
703	1798	756
704	1800	753
705	1802	750
706	1803	747
707	1806	744
708	1807	741
709	1814	741
710	1815	738
711	1817	735
712	1819	732
713	1821	729
714	1823	726
715	1827	724
716	1829	722
717	1831	719
718	1832	716
719	1834	713
720	1836	710
721	1838	707
722	1843	706
723	1845	703
724	1847	700
725	1849	697
726	1850	694
727	1852	692
728	1858	691
729	1861	688
730	1863	685
731	1866	683
732	1868	680
733	1872	678
734	1874	675
735	1876	672
736	1878	670
737	1879	667
738	1881	664
739	1883	661
740	1886	659
741	1887	656
742	1889	653
743	1891	650
744	1893	647
745	1894	645
746	1896	642
747	1898	639
748	1902	637
749	1904	634
750	1905	631
751	1907	629
752	1908	626
753	1910	623
754	1912	620
755	1915	618
756	1918	615
757	1919	612
758	1921	610
759	1922	607
760	1924	604
761	1926	601
762	1929	599
763	1933	597
764	1934	594
765	1936	591
766	1937	588
767	1939	585
768	1941	583
769	1943	580
770	1946	578
771	1948	575
772	1950	572
773	1952	570
774	1954	567
775	1956	564
